epoch,train_loss,val_loss,val_mae,val_psnr,val_ssim,learning_rate
1,1.0395577689334041,0.2835582122206688,0.2835582122206688,14.386870637536049,0.18680118084557762,9.999062364856622e-05
2,0.4519761971049969,0.3644131403416395,0.3644131403416395,12.11937241256237,0.191731705952094,9.993931093868591e-05
3,0.37745089409823646,0.2224798509851098,0.2224798509851098,15.92429518699646,0.3233951522870484,9.984333426773604e-05
4,0.34003325014686686,0.3459403086453676,0.3459403086453676,11.942870765924454,0.2520072150684882,9.970278902432477e-05
5,0.31936710433175036,0.273783465847373,0.273783465847373,14.09920148551464,0.3104988419190704,9.951781489255346e-05
6,0.3035610910606166,0.2055554213002324,0.2055554213002324,16.08529642224312,0.39239166219340404,9.92885957131898e-05
7,0.294381617585832,0.24632543791085482,0.24632543791085482,14.739476069808006,0.3581719824233005,9.901535930095357e-05
8,0.2857109874192787,0.19840503297746181,0.19840503297746181,16.61118283867836,0.3851886748980178,9.869837721809561e-05
9,0.2792942072509417,0.2009223783388734,0.2009223783388734,16.337518990039825,0.41300866218080046,9.833796450450243e-05
10,0.2742817347260651,0.21266412362456322,0.21266412362456322,15.991984233260155,0.39572777591092745,9.793447936458587e-05
11,0.26854381789865317,0.2709991782903671,0.2709991782903671,13.92400674521923,0.3497200107599383,9.74883228112712e-05
12,0.2655598307563505,0.20560237113386393,0.20560237113386393,15.954679399728775,0.40977105011597814,9.699993826744406e-05
13,0.26068814797934237,0.32871556840837,0.32871556840837,12.313262149691582,0.3183571033862336,9.646981112524419e-05
14,0.2563087422903634,0.18207386787980795,0.18207386787980795,17.148879915475845,0.44839276889797475,9.589846826364498e-05
15,0.2551136252259889,0.22718206513673067,0.22718206513673067,15.141927227377892,0.3938825686381051,9.528647752480442e-05
16,0.2512260656258906,0.185862323269248,0.185862323269248,16.875015273690224,0.43327902600867674,9.463444714970333e-05
17,0.24979478038340586,0.18618665356189013,0.18618665356189013,16.70647144317627,0.4452087382214813,9.394302517362881e-05
18,0.246870421028112,0.19127439614385366,0.19127439614385366,16.639122739434242,0.41890804375725565,9.321289878211254e-05
19,0.24435835316708948,0.24126966390758753,0.24126966390758753,14.799685925245285,0.37342774696026027,9.244479362795177e-05
20,0.2425631176986281,0.17321110796183348,0.17321110796183348,17.43946872651577,0.45744397286034655,9.163947311000551e-05
21,0.24022671007273858,0.1841229423880577,0.1841229423880577,16.810807436704636,0.45124333347484935,9.079773761447237e-05
22,0.23877880512449495,0.18150869477540255,0.18150869477540255,16.95579782128334,0.4486479984407197,8.992042371940882e-05
