epoch,learning_rate,train_total,train_reconstruction,train_kl,train_perceptual,train_mse,train_mae,train_psnr,train_ssim,val_total,val_reconstruction,val_kl,val_perceptual,val_mse,val_mae,val_psnr,val_ssim
0,0.0001999509027563903,0.0582539373247316,0.02190391387374568,5.146129172505923e-05,0.036298562184638054,0.07403800293675965,0.18139109411077475,19.27910503824066,0.43286583643305243,0.04820675584951781,0.019832932171666352,2.1069954416646854e-05,0.028352753831211393,0.0718087883086841,0.1761631349894555,19.251337164390513,0.4530215323220359
1,0.00019980365947861302,0.04153147256499707,0.01735213472187203,1.4743760732400355e-05,0.024164594072151532,0.05529161047446989,0.15094940699497328,20.58911578476103,0.49914632316463853,0.040434414431021526,0.01728149851442725,6.574644993607818e-06,0.023146341210440808,0.0522237438163823,0.14686556638004183,20.828850249180395,0.5110784762877849
2,0.00019955841547800645,0.03671021426152204,0.01600615043667549,1.8984003482505357e-05,0.020685079803327157,0.05078450134859966,0.14256884374460044,21.039089615028466,0.5219490247243099,0.0345290061924906,0.015270856837966626,2.1040752289114035e-05,0.01923710876818255,0.04799107477506178,0.14124171500861954,21.16887506385235,0.5268712828850215
3,0.00019921541278079054,0.03385056559005225,0.015106676466713232,1.8402939554786695e-05,0.018725486194023734,0.04799516165727786,0.13736297317165527,21.333893510068876,0.5359080987472591,0.032560217137361645,0.0144350130164882,1.5729215628288948e-05,0.01810947484621281,0.046693154075020074,0.13606837859581933,21.4505246415342,0.5374818837696073
4,0.0001987749898892162,0.032104902044114356,0.014547478915748637,1.2927833285144692e-05,0.017544495254834095,0.04609405562737515,0.1335257321202492,21.564964167714493,0.5470201540653892,0.03111813824707672,0.013958999827216675,3.286012020802668e-05,0.0171262783827889,0.04522433748470913,0.13158762311502797,21.637748890592256,0.5496058493242078
5,0.00019823758144750452,0.030939772536937124,0.01418716669391618,1.682306641913663e-05,0.016735782761510415,0.044843002456896805,0.13095837546290598,21.707036065794572,0.55478715680335,0.0320037752928937,0.014762106588128295,5.807498337308763e-05,0.01718359375282691,0.0454936538188082,0.13493087203647144,21.589164592758088,0.546841830433708
6,0.00019760371781290536,0.029899235219554097,0.01379492516562038,1.0195068715719751e-05,0.016094114988348184,0.0435096595849442,0.12822781307472308,21.878658526859375,0.5625265570957421,0.029907943501206073,0.013876704783613084,2.9166209492432596e-06,0.016028322057852408,0.04233945381973958,0.12685308076275154,21.986496529761812,0.5635630307064603
7,0.00019687402453229879,0.029703815751006158,0.013780101278940297,6.24067560470047e-05,0.015861307701708034,0.04337806880662678,0.12809720003206476,21.884686220097237,0.563233009357743,0.029117580048045162,0.013398899669815873,1.4515025038303024e-05,0.015704165422432484,0.04175704564795513,0.1256315795188222,22.001700327141616,0.5673067111304634
8,0.00019604922172485585,0.028658946880883298,0.013399256575258109,1.057408267869871e-05,0.01524911620859174,0.04221460380924856,0.12556818541462755,22.040730134622173,0.5699306967671954,0.02932548048603573,0.013871462859956014,2.1405377752975623e-06,0.015451877147342615,0.040733224117478976,0.12613638470674754,22.099372564327222,0.5670203122854077
9,0.0001951301233713678,0.028122044781972683,0.013208012568102506,9.899984199937277e-06,0.01490413222854383,0.04137328786482175,0.12410711295050882,22.124658650872075,0.5742200080787564,0.029319945471271442,0.014114608961214399,1.079556097898498e-05,0.015194540942189586,0.045437882459497585,0.13613770398876054,21.471425611227442,0.5465996780842896
